City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Ovalle,CL,-30.5983,-71.2003,65.32,72,0,3.22,clear sky
140,Nurota,UZ,40.5614,65.6886,53.28,72,100,4.74,light rain
141,Newcastleton,GB,55.1796,-2.8127,45.03,90,5,1.07,clear sky
142,Birao,CF,10.2849,22.7882,74.21,11,96,13.13,overcast clouds
143,Luanda,AO,-8.8368,13.2343,79.18,85,100,4.99,overcast clouds
144,Derzhavinsk,KZ,51.1,66.3167,28.02,92,100,8.95,overcast clouds
145,Pensacola,US,30.4213,-87.2169,64.85,74,0,6.91,clear sky
146,Vuktyl,RU,63.8567,57.3094,15.93,89,98,9.89,overcast clouds
147,Atlantic Beach,US,30.3344,-81.3987,64.51,61,0,6.91,clear sky
148,Aktas,KZ,49.7789,72.9608,13.75,90,100,5.77,overcast clouds
149,Salinopolis,BR,-0.6136,-47.3561,77.36,90,100,7.67,overcast clouds
150,Pangnirtung,CA,66.1451,-65.7125,13.71,93,100,5.91,overcast clouds
151,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.15,89,91,18.77,overcast clouds
152,Saint George,US,37.1041,-113.5841,76.95,15,0,3.44,clear sky
153,Asyut,EG,27.181,31.1837,49.68,56,0,8.5,clear sky
154,Urengoy,RU,65.9667,78.3667,21.99,95,100,12.88,light snow
155,Nouadhibou,MR,20.931,-17.0347,60.78,82,22,16.11,few clouds
156,Ekuvukeni,ZA,-28.4675,30.1551,60.57,96,100,2.06,overcast clouds
157,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.38,88,57,0.6,broken clouds
158,Antananarivo,MG,-18.9137,47.5361,62.56,100,20,4.61,few clouds
159,Zheshart,RU,62.0731,49.5733,21.65,86,98,9.91,overcast clouds
160,Grindavik,IS,63.8424,-22.4338,45.07,100,100,28.77,light intensity drizzle rain
161,Manaure,CO,11.7751,-72.4445,78.98,76,71,14.97,broken clouds
162,Carnarvon,AU,-24.8667,113.6333,84.27,65,40,14.97,scattered clouds
163,Puerto Del Rosario,ES,28.5004,-13.8627,58.75,82,0,6.91,clear sky
164,Humberto De Campos,BR,-2.5983,-43.4611,75.58,94,100,4.05,moderate rain
165,Cruzeiro,BR,-22.5761,-44.9628,69.01,91,23,2.21,few clouds
166,Kirkuk,IQ,35.4681,44.3922,44.2,84,22,1.88,few clouds
167,Luebo,CD,-5.35,21.4167,69.48,97,100,1.68,light rain
168,Constitucion,CL,-35.3333,-72.4167,52.02,82,2,3.09,clear sky
169,Sidi Ali,DZ,36.0998,0.4206,53.6,71,100,5.91,overcast clouds
170,Bengkulu,ID,-3.8004,102.2655,84.69,62,18,5.79,few clouds
